Detected kernel version 4.14.105, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
Epoch 131/10000000	Loss:  2.35365	Time elapsed: 17.709s
Epoch 132/10000000	Loss:  2.18835	Time elapsed: 17.472s
Epoch 133/10000000	Loss:  2.28842	Time elapsed: 17.426s
Epoch 134/10000000	Loss:  2.13988	Time elapsed: 17.695s
Epoch 135/10000000	Loss:  2.22425	Time elapsed: 17.201s
Epoch 136/10000000	Loss:  2.16003	Time elapsed: 17.573s
Epoch 137/10000000	Loss:  2.23459	Time elapsed: 17.620s
Epoch 138/10000000	Loss:  2.17115	Time elapsed: 17.688s
Epoch 139/10000000	Loss:  2.12309	Time elapsed: 17.624s
Epoch 140/10000000	Loss:  2.14641	Time elapsed: 17.493s
Epoch 141/10000000	Loss:  2.07751	Time elapsed: 17.792s
Epoch 142/10000000	Loss:  2.15674	Time elapsed: 17.507s
Epoch 143/10000000	Loss:  2.23316	Time elapsed: 17.375s
Epoch 144/10000000	Loss:  2.09195	Time elapsed: 17.311s
Epoch 145/10000000	Loss:  2.12449	Time elapsed: 17.118s
Epoch 146/10000000	Loss:  2.15665	Time elapsed: 17.188s
Epoch 147/10000000	Loss:  2.18158	Time elapsed: 17.325s
Epoch 148/10000000	Loss:  2.05173	Time elapsed: 17.387s
Epoch 149/10000000	Loss:  2.10615	Time elapsed: 17.081s
Epoch 150/10000000	Loss:  2.11845	Time elapsed: 16.310s
Epoch 151/10000000	Loss:  2.20072	Time elapsed: 16.278s
Epoch 152/10000000	Loss:  2.06506	Time elapsed: 16.440s
Epoch 153/10000000	Loss:  2.13411	Time elapsed: 16.688s
Epoch 154/10000000	Loss:  2.07247	Time elapsed: 16.797s
Epoch 155/10000000	Loss:  1.96232	Time elapsed: 16.463s
Epoch 156/10000000	Loss:  2.05829	Time elapsed: 16.438s
Epoch 157/10000000	Loss:  2.03010	Time elapsed: 16.569s
Epoch 158/10000000	Loss:  2.15462	Time elapsed: 17.427s
Epoch 159/10000000	Loss:  2.05716	Time elapsed: 17.678s
Epoch 160/10000000	Loss:  2.02483	Time elapsed: 17.625s
Epoch 161/10000000	Loss:  2.04345	Time elapsed: 17.902s
Epoch 162/10000000	Loss:  2.08435	Time elapsed: 17.596s
Epoch 163/10000000	Loss:  1.96375	Time elapsed: 17.599s
Epoch 164/10000000	Loss:  2.09258	Time elapsed: 17.710s
Epoch 165/10000000	Loss:  2.06354	Time elapsed: 17.392s
Epoch 166/10000000	Loss:  2.05001	Time elapsed: 17.283s
Epoch 167/10000000	Loss:  1.93853	Time elapsed: 17.591s
Epoch 168/10000000	Loss:  2.16955	Time elapsed: 17.832s
Epoch 169/10000000	Loss:  1.99621	Time elapsed: 17.691s
Epoch 170/10000000	Loss:  1.89319	Time elapsed: 17.001s
Epoch 171/10000000	Loss:  2.03074	Time elapsed: 17.491s
Epoch 172/10000000	Loss:  2.03049	Time elapsed: 17.700s
Epoch 173/10000000	Loss:  1.96026	Time elapsed: 17.111s
Epoch 174/10000000	Loss:  1.98062	Time elapsed: 16.987s
Epoch 175/10000000	Loss:  2.04405	Time elapsed: 16.901s
Epoch 176/10000000	Loss:  1.92604	Time elapsed: 17.702s
Epoch 177/10000000	Loss:  1.97459	Time elapsed: 17.329s
Epoch 178/10000000	Loss:  1.89689	Time elapsed: 17.275s
Epoch 179/10000000	Loss:  1.96561	Time elapsed: 17.192s
Epoch 180/10000000	Loss:  1.98449	Time elapsed: 17.302s
Epoch 181/10000000	Loss:  1.87624	Time elapsed: 17.604s
Epoch 182/10000000	Loss:  1.98120	Time elapsed: 17.257s
Epoch 183/10000000	Loss:  1.89963	Time elapsed: 16.806s
Epoch 184/10000000	Loss:  1.95110	Time elapsed: 17.325s
Epoch 185/10000000	Loss:  2.02621	Time elapsed: 17.007s
Epoch 186/10000000	Loss:  1.92320	Time elapsed: 16.502s
Epoch 187/10000000	Loss:  2.00921	Time elapsed: 17.005s
Epoch 188/10000000	Loss:  2.01266	Time elapsed: 16.190s
Epoch 189/10000000	Loss:  1.91070	Time elapsed: 16.785s
